315,Define,_Global_@_IO_2_1_stdin_,struct _IO_FILE_plus
316,Define,_Global_@_IO_2_1_stdout_,struct _IO_FILE_plus
317,Define,_Global_@_IO_2_1_stderr_,struct _IO_FILE_plus
333,Define,Parm,_Global_@__cookie,void *
333,Define,Parm,_Global_@__buf,char *
333,Define,Parm,_Global_@__nbytes,size_t
341,Define,Parm,_Global_@__cookie,void *
341,Define,Parm,_Global_@__buf,const char *
342,Define,Parm,_Global_@__n,size_t
350,Define,Parm,_Global_@__cookie,void *
350,Define,Parm,_Global_@__pos,__off64_t *
350,Define,Parm,_Global_@__w,int
353,Define,Parm,_Global_@__cookie,void *
385,Define,FunctionDeclare,__underflow,int
385,Define,Parm,__underflow@,_IO_FILE *
386,Define,FunctionDeclare,__uflow,int
386,Define,Parm,__uflow@,_IO_FILE *
387,Define,FunctionDeclare,__overflow,int
387,Define,Parm,__overflow@,_IO_FILE *
387,Define,Parm,__overflow@,int
429,Define,FunctionDeclare,_IO_getc,int
429,Define,Parm,_IO_getc@__fp,_IO_FILE *
430,Define,FunctionDeclare,_IO_putc,int
430,Define,Parm,_IO_putc@__c,int
430,Define,Parm,_IO_putc@__fp,_IO_FILE *
431,Define,FunctionDeclare,_IO_feof,int
431,Define,Parm,_IO_feof@__fp,_IO_FILE *
432,Define,FunctionDeclare,_IO_ferror,int
432,Define,Parm,_IO_ferror@__fp,_IO_FILE *
434,Define,FunctionDeclare,_IO_peekc_locked,int
434,Define,Parm,_IO_peekc_locked@__fp,_IO_FILE *
440,Define,FunctionDeclare,_IO_flockfile,void
440,Define,Parm,_IO_flockfile@,_IO_FILE *
441,Define,FunctionDeclare,_IO_funlockfile,void
441,Define,Parm,_IO_funlockfile@,_IO_FILE *
442,Define,FunctionDeclare,_IO_ftrylockfile,int
442,Define,Parm,_IO_ftrylockfile@,_IO_FILE *
459,Define,FunctionDeclare,_IO_vfscanf,int
459,Define,Parm,_IO_vfscanf@,_IO_FILE *__restrict
459,Define,Parm,_IO_vfscanf@,const char *__restrict
460,Define,Parm,_IO_vfscanf@,struct __va_list_tag *
460,Define,Parm,_IO_vfscanf@,int *__restrict
461,Define,FunctionDeclare,_IO_vfprintf,int
461,Define,Parm,_IO_vfprintf@,_IO_FILE *__restrict
461,Define,Parm,_IO_vfprintf@,const char *__restrict
462,Define,Parm,_IO_vfprintf@,struct __va_list_tag *
463,Define,FunctionDeclare,_IO_padn,__ssize_t
463,Define,Parm,_IO_padn@,_IO_FILE *
463,Define,Parm,_IO_padn@,int
463,Define,Parm,_IO_padn@,__ssize_t
464,Define,FunctionDeclare,_IO_sgetn,size_t
464,Define,Parm,_IO_sgetn@,_IO_FILE *
464,Define,Parm,_IO_sgetn@,void *
464,Define,Parm,_IO_sgetn@,size_t
466,Define,FunctionDeclare,_IO_seekoff,__off64_t
466,Define,Parm,_IO_seekoff@,_IO_FILE *
466,Define,Parm,_IO_seekoff@,__off64_t
466,Define,Parm,_IO_seekoff@,int
466,Define,Parm,_IO_seekoff@,int
467,Define,FunctionDeclare,_IO_seekpos,__off64_t
467,Define,Parm,_IO_seekpos@,_IO_FILE *
467,Define,Parm,_IO_seekpos@,__off64_t
467,Define,Parm,_IO_seekpos@,int
469,Define,FunctionDeclare,_IO_free_backup_area,void
469,Define,Parm,_IO_free_backup_area@,_IO_FILE *
168,Define,_Global_@stdin,struct _IO_FILE *
169,Define,_Global_@stdout,struct _IO_FILE *
170,Define,_Global_@stderr,struct _IO_FILE *
178,Define,FunctionDeclare,remove,int
178,Define,Parm,remove@__filename,const char *
180,Define,FunctionDeclare,rename,int
180,Define,Parm,rename@__old,const char *
180,Define,Parm,rename@__new,const char *
185,Define,FunctionDeclare,renameat,int
185,Define,Parm,renameat@__oldfd,int
185,Define,Parm,renameat@__old,const char *
185,Define,Parm,renameat@__newfd,int
186,Define,Parm,renameat@__new,const char *
195,Define,FunctionDeclare,tmpfile,FILE *
209,Define,FunctionDeclare,tmpnam,char *
209,Define,Parm,tmpnam@__s,char *
215,Define,FunctionDeclare,tmpnam_r,char *
215,Define,Parm,tmpnam_r@__s,char *
227,Define,FunctionDeclare,tempnam,char *
227,Define,Parm,tempnam@__dir,const char *
227,Define,Parm,tempnam@__pfx,const char *
237,Define,FunctionDeclare,fclose,int
237,Define,Parm,fclose@__stream,FILE *
242,Define,FunctionDeclare,fflush,int
242,Define,Parm,fflush@__stream,FILE *
252,Define,FunctionDeclare,fflush_unlocked,int
252,Define,Parm,fflush_unlocked@__stream,FILE *
272,Define,FunctionDeclare,fopen,FILE *
272,Define,Parm,fopen@__filename,const char *__restrict
273,Define,Parm,fopen@__modes,const char *__restrict
278,Define,FunctionDeclare,freopen,FILE *
278,Define,Parm,freopen@__filename,const char *__restrict
279,Define,Parm,freopen@__modes,const char *__restrict
280,Define,Parm,freopen@__stream,FILE *__restrict
306,Define,FunctionDeclare,fdopen,FILE *
306,Define,Parm,fdopen@__fd,int
306,Define,Parm,fdopen@__modes,const char *
319,Define,FunctionDeclare,fmemopen,FILE *
319,Define,Parm,fmemopen@__s,void *
319,Define,Parm,fmemopen@__len,size_t
319,Define,Parm,fmemopen@__modes,const char *
325,Define,FunctionDeclare,open_memstream,FILE *
325,Define,Parm,open_memstream@__bufloc,char **
325,Define,Parm,open_memstream@__sizeloc,size_t *
332,Define,FunctionDeclare,setbuf,void
332,Define,Parm,setbuf@__stream,FILE *__restrict
332,Define,Parm,setbuf@__buf,char *__restrict
336,Define,FunctionDeclare,setvbuf,int
336,Define,Parm,setvbuf@__stream,FILE *__restrict
336,Define,Parm,setvbuf@__buf,char *__restrict
337,Define,Parm,setvbuf@__modes,int
337,Define,Parm,setvbuf@__n,size_t
343,Define,FunctionDeclare,setbuffer,void
343,Define,Parm,setbuffer@__stream,FILE *__restrict
343,Define,Parm,setbuffer@__buf,char *__restrict
344,Define,Parm,setbuffer@__size,size_t
347,Define,FunctionDeclare,setlinebuf,void
347,Define,Parm,setlinebuf@__stream,FILE *
356,Define,FunctionDeclare,fprintf,int
356,Define,Parm,fprintf@__stream,FILE *__restrict
357,Define,Parm,fprintf@__format,const char *__restrict
362,Define,FunctionDeclare,printf,int
362,Define,Parm,printf@__format,const char *__restrict
364,Define,FunctionDeclare,sprintf,int
364,Define,Parm,sprintf@__s,char *__restrict
365,Define,Parm,sprintf@__format,const char *__restrict
371,Define,FunctionDeclare,vfprintf,int
371,Define,Parm,vfprintf@__s,FILE *__restrict
371,Define,Parm,vfprintf@__format,const char *__restrict
372,Define,Parm,vfprintf@__arg,struct __va_list_tag *
377,Define,FunctionDeclare,vprintf,int
377,Define,Parm,vprintf@__format,const char *__restrict
377,Define,Parm,vprintf@__arg,struct __va_list_tag *
379,Define,FunctionDeclare,vsprintf,int
379,Define,Parm,vsprintf@__s,char *__restrict
379,Define,Parm,vsprintf@__format,const char *__restrict
380,Define,Parm,vsprintf@__arg,struct __va_list_tag *
386,Define,FunctionDeclare,snprintf,int
386,Define,Parm,snprintf@__s,char *__restrict
386,Define,Parm,snprintf@__maxlen,size_t
387,Define,Parm,snprintf@__format,const char *__restrict
390,Define,FunctionDeclare,vsnprintf,int
390,Define,Parm,vsnprintf@__s,char *__restrict
390,Define,Parm,vsnprintf@__maxlen,size_t
391,Define,Parm,vsnprintf@__format,const char *__restrict
391,Define,Parm,vsnprintf@__arg,struct __va_list_tag *
412,Define,FunctionDeclare,vdprintf,int
412,Define,Parm,vdprintf@__fd,int
412,Define,Parm,vdprintf@__fmt,const char *__restrict
413,Define,Parm,vdprintf@__arg,struct __va_list_tag *
415,Define,FunctionDeclare,dprintf,int
415,Define,Parm,dprintf@__fd,int
415,Define,Parm,dprintf@__fmt,const char *__restrict
425,Define,FunctionDeclare,fscanf,int
425,Define,Parm,fscanf@__stream,FILE *__restrict
426,Define,Parm,fscanf@__format,const char *__restrict
431,Define,FunctionDeclare,scanf,int
431,Define,Parm,scanf@__format,const char *__restrict
433,Define,FunctionDeclare,sscanf,int
433,Define,Parm,sscanf@__s,const char *__restrict
434,Define,Parm,sscanf@__format,const char *__restrict
443,Define,FunctionDeclare,fscanf,int
443,Define,Parm,fscanf@__stream,FILE *__restrict
443,Define,Parm,fscanf@__format,const char *__restrict
446,Define,FunctionDeclare,scanf,int
446,Define,Parm,scanf@__format,const char *__restrict
